feature,importance
bert_dim_2,0.0004219537616160617
bert_dim_454,0.00042045228536711235
bert_dim_324,0.0004204161124333746
bert_dim_298,0.00042036571703242575
bert_dim_169,0.0004201730101585808
bert_dim_682,0.00041897156331841673
bert_dim_197,0.00041881061268016564
bert_dim_753,0.0004188003304085695
bert_dim_349,0.0004186758531234296
bert_dim_99,0.00041867075002240746
bert_dim_94,0.00041798484729197057
bert_dim_724,0.00041771791905926837
bert_dim_752,0.00041771163346069636
bert_dim_117,0.0004166201499682846
bert_dim_174,0.00041651114796809036
bert_dim_763,0.00041626230202749517
bert_dim_440,0.0004159297911533119
bert_dim_756,0.0004159216835291994
bert_dim_308,0.0004156377438138361
bert_dim_49,0.0004149889540741046
bert_dim_615,0.0004146989168934098
bert_dim_628,0.00041412582926888327
bert_dim_73,0.00041349446009168375
bert_dim_669,0.00041310259014622116
bert_dim_745,0.00041261397290753485
bert_dim_63,0.00041249269512842496
bert_dim_431,0.0004117133739990572
bert_dim_183,0.00041114010150164666
bert_dim_278,0.0004108868475813711
bert_dim_654,0.00041046344520886984
bert_dim_336,0.0004104507846347419
bert_dim_358,0.0004097512687752195
bert_dim_17,0.00040974055087414097
bert_dim_491,0.0004097076230414642
bert_dim_643,0.0004095873547726433
bert_dim_424,0.0004091626550117228
bert_dim_285,0.00040905852165173105
bert_dim_411,0.0004090111495145693
bert_dim_760,0.00040854283532585793
bert_dim_526,0.00040762384018846846
bert_dim_40,0.0004071711219145638
bert_dim_557,0.00040644465661476316
bert_dim_185,0.00040573214436326923
bert_dim_656,0.00040542204110923246
bert_dim_496,0.0004052129509297639
bert_dim_755,0.00040466162769292553
bert_dim_624,0.0004034174145789322
bert_dim_540,0.00040332803385997325
bert_dim_274,0.0004032830373128095
bert_dim_627,0.0004028773326097447
bert_dim_720,0.00040274426570115635
bert_dim_733,0.00040245193891822183
bert_dim_93,0.000402128823352288
bert_dim_276,0.00040199209050906004
bert_dim_168,0.0004011065519118226
bert_dim_113,0.0003994480517272293
bert_dim_237,0.00039926719001338537
bert_dim_136,0.00039824696085859077
bert_dim_508,0.0003982223477664156
bert_dim_732,0.00039793482494722963
bert_dim_707,0.0003975611021776416
bert_dim_325,0.00039730127415071507
bert_dim_651,0.00039645308961491706
bert_dim_209,0.0003960624278472804
bert_dim_397,0.0003960103431432242
bert_dim_289,0.00039587040369303456
bert_dim_122,0.0003954802235952471
bert_dim_25,0.00039490954657670673
bert_dim_741,0.00039479643331765454
bert_dim_748,0.0003947439745493465
bert_dim_660,0.00039398209913747646
bert_dim_389,0.0003932040175013507
bert_dim_419,0.0003915455497230076
bert_dim_231,0.0003914416457483078
bert_dim_714,0.00039129627136811815
bert_dim_570,0.0003911909035803614
bert_dim_81,0.00039032160712904794
bert_dim_288,0.0003901971825900157
bert_dim_765,0.00039001988188028654
bert_dim_533,0.00038973751907493085
bert_dim_34,0.000389448185481663
bert_dim_5,0.000389008923449149
bert_dim_694,0.00038795071421174316
bert_dim_650,0.0003875843583788896
bert_dim_7,0.0003874816696291268
bert_dim_318,0.00038665400317791746
bert_dim_67,0.0003865289348880964
bert_dim_28,0.00038486529250199227
bert_dim_309,0.0003840528181368894
bert_dim_282,0.0003840431592753017
bert_dim_13,0.00038262894545445554
bert_dim_515,0.00038262843088449126
bert_dim_29,0.0003815923691576622
bert_dim_574,0.0003807998940504214
bert_dim_527,0.00038017252232236897
bert_dim_484,0.0003793674342397549
bert_dim_302,0.0003775194464607503
bert_dim_392,0.00037723894186902305
bert_dim_564,0.0003768278597396689
bert_dim_341,0.00037578427552093917
bert_dim_430,0.0003736805261726243
bert_dim_87,0.0003726804077947657
bert_dim_457,0.000369419944661262
bert_dim_245,0.00036926591841213326
bert_dim_316,0.0003692440470838207
bert_dim_544,0.0003662673070231434
bert_dim_238,0.00036214124840744686
bert_dim_518,0.00036029442766871857
bert_dim_178,0.00035699815523432255
bert_dim_532,0.00035272634603052816
bert_dim_227,0.00035026186277977355
bert_dim_43,0.0003483145148332455
bert_dim_173,0.00034801748180544965
bert_dim_239,0.0003477774664356591
bert_dim_576,0.0003467116446704272
bert_dim_353,0.0003452519160103493
bert_dim_605,0.0003428850698145776
bert_dim_596,0.0003387490804338133
bert_dim_346,0.00033690399085429396
bert_dim_470,0.00033643455943789085
bert_dim_235,0.0003363978365536197
bert_dim_89,0.0003350897887657693
bert_dim_378,0.0003349996335059399
